preferred_entry_date_1,preferred_zone_1,preferred_entry_date_2,preferred_zone_2,preferred_entry_date_3,preferred_zone_3,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size
07-17-2020,Colchuck Zone,07-24-2020,Core Enchantment Zone,08-16-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
07-28-2020,Core Enchantment Zone,09-16-2020,Core Enchantment Zone,10-07-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-01-2020,Stuart  Zone,09-02-2020,Colchuck Zone,09-02-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-01-2020,Core Enchantment Zone,08-01-2020,Core Enchantment Zone,08-01-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-06-2020,Core Enchantment Zone,07-20-2020,Snow Zone,09-14-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
06-19-2020,Core Enchantment Zone,01-01-1970,N/A,01-01-1970,N/A,Unsuccessful,0,01-01-1970,N/A,0
06-26-2020,Core Enchantment Zone,07-03-2020,Core Enchantment Zone,07-10-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-17-2020,Core Enchantment Zone,08-18-2020,Core Enchantment Zone,08-19-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
06-20-2020,Colchuck Zone,07-25-2020,Colchuck Zone,08-01-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
07-27-2020,Core Enchantment Zone,08-03-2020,Core Enchantment Zone,07-28-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
09-04-2020,Core Enchantment Zone,09-05-2020,Core Enchantment Zone,10-09-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
05-15-2020,Colchuck Zone,06-12-2020,Stuart  Zone,09-25-2020,Eightmile/Caroline Zone,Unsuccessful,0,01-01-1970,N/A,0
07-17-2020,Snow Zone,07-24-2020,Snow Zone,07-31-2020,Snow Zone,Unsuccessful,0,01-01-1970,N/A,0
08-27-2020,Core Enchantment Zone,09-03-2020,Core Enchantment Zone,09-10-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-14-2020,Snow Zone,07-31-2020,Core Enchantment Zone,07-24-2020,Snow Zone,Unsuccessful,0,01-01-1970,N/A,0
08-09-2020,Colchuck Zone,08-13-2020,Colchuck Zone,08-14-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
08-20-2020,Core Enchantment Zone,08-12-2020,Core Enchantment Zone,08-19-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-07-2020,Snow Zone,08-08-2020,Colchuck Zone,08-08-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-11-2020,Core Enchantment Zone,08-10-2020,Core Enchantment Zone,08-12-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-05-2020,Core Enchantment Zone,07-25-2020,Core Enchantment Zone,08-29-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-11-2020,Core Enchantment Zone,09-12-2020,Core Enchantment Zone,10-10-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-29-2020,Core Enchantment Zone,08-02-2020,Core Enchantment Zone,09-25-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-10-2020,Core Enchantment Zone,09-17-2020,Core Enchantment Zone,09-24-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
06-25-2020,Core Enchantment Zone,08-13-2020,Colchuck Zone,07-23-2020,Snow Zone,Unsuccessful,0,01-01-1970,N/A,0
07-23-2020,Colchuck Zone,09-05-2020,Snow Zone,07-26-2020,Snow Zone,Awarded,3,07-26-2020,Snow Zone,6
06-05-2020,Core Enchantment Zone,06-12-2020,Core Enchantment Zone,06-19-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-19-2020,Core Enchantment Zone,09-26-2020,Core Enchantment Zone,10-03-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-24-2020,Core Enchantment Zone,07-24-2020,Colchuck Zone,06-26-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
07-29-2020,Core Enchantment Zone,07-30-2020,Core Enchantment Zone,07-31-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-20-2020,Core Enchantment Zone,08-28-2020,Core Enchantment Zone,08-21-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-04-2020,Core Enchantment Zone,07-18-2020,Core Enchantment Zone,08-01-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-12-2020,Core Enchantment Zone,10-17-2020,Core Enchantment Zone,08-22-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
