preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size,processing_sequence,state,year,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Colchuck Zone,07-31-2020,0.0,Awarded,3,09-14-2020,Colchuck Zone,4,,,2020,False,1,July,Friday
Core Enchantment Zone,05-18-2020,0.0,Awarded,3,05-18-2020,Colchuck Zone,4,,,2020,False,1,May,Monday
Core Enchantment Zone,05-30-2020,0.0,Awarded,2,05-30-2020,Stuart  Zone,2,,,2020,False,1,May,Saturday
Core Enchantment Zone,08-21-2020,0.0,Awarded,3,08-24-2020,Snow Zone,8,,,2020,False,1,August,Friday
Colchuck Zone,09-04-2020,0.0,Awarded,3,09-18-2020,Eightmile/Caroline Zone,2,,,2020,False,1,September,Friday
Core Enchantment Zone,10-16-2020,0.0,Awarded,2,10-23-2020,Core Enchantment Zone,4,,,2020,False,1,October,Friday
Core Enchantment Zone,07-30-2020,0.0,Awarded,2,07-23-2020,Core Enchantment Zone,4,,,2020,False,1,July,Thursday
Core Enchantment Zone,07-16-2020,0.0,Awarded,2,05-28-2020,Core Enchantment Zone,4,,,2020,False,1,July,Thursday
Core Enchantment Zone,09-18-2020,0.0,Awarded,2,09-25-2020,Core Enchantment Zone,2,,,2020,False,1,September,Friday
Stuart  Zone,08-26-2020,0.0,Awarded,2,10-21-2020,Core Enchantment Zone,4,,,2020,False,1,August,Wednesday
Core Enchantment Zone,09-04-2020,0.0,Awarded,2,08-14-2020,Stuart  Zone,6,,,2020,False,1,September,Friday
Core Enchantment Zone,06-15-2020,0.0,Awarded,3,06-14-2020,Snow Zone,5,,,2020,False,1,June,Monday
Colchuck Zone,06-20-2020,0.0,Awarded,2,06-27-2020,Snow Zone,4,,,2020,False,1,June,Saturday
Core Enchantment Zone,09-24-2020,0.0,Awarded,3,07-16-2020,Core Enchantment Zone,2,,,2020,False,1,September,Thursday
Core Enchantment Zone,07-16-2020,0.0,Awarded,2,07-16-2020,Colchuck Zone,4,,,2020,False,1,July,Thursday
Snow Zone,08-03-2020,0.0,Awarded,2,08-04-2020,Snow Zone,4,,,2020,False,1,August,Monday
Core Enchantment Zone,06-30-2020,0.0,Awarded,3,07-02-2020,Stuart  Zone,4,,,2020,False,1,June,Tuesday
Core Enchantment Zone,07-16-2020,0.0,Awarded,2,07-16-2020,Snow Zone,8,,,2020,False,1,July,Thursday
Core Enchantment Zone,07-18-2020,0.0,Awarded,2,07-18-2020,Snow Zone,4,,,2020,False,1,July,Saturday
Core Enchantment Zone,09-12-2020,0.0,Awarded,2,09-13-2020,Colchuck Zone,3,,,2020,False,1,September,Saturday
Core Enchantment Zone,09-10-2020,0.0,Awarded,3,09-10-2020,Snow Zone,3,,,2020,False,1,September,Thursday
Core Enchantment Zone,09-26-2020,0.0,Awarded,2,09-26-2020,Colchuck Zone,4,,,2020,False,1,September,Saturday
Core Enchantment Zone,09-13-2020,0.0,Awarded,2,07-19-2020,Core Enchantment Zone,2,,,2020,False,1,September,Sunday
Core Enchantment Zone,09-28-2020,0.0,Awarded,3,10-19-2020,Core Enchantment Zone,4,,,2020,False,1,September,Monday
