Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entrance Code/Name,Awarded Group Size,State
4,8/11/2023,Colchuck Zone,4,4,8/18/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,7/29/2023,Stuart  Zone,4,4,8/25/2023,Colchuck Zone,4,4,Unsuccessful,,,,TX
8,7/15/2023,Core Enchantment Zone,8,8,7/28/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,7/4/2023,Colchuck Zone,4,4,8/19/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,9/29/2023,Core Enchantment Zone,4,4,10/27/2023,Core Enchantment Zone,4,4,Awarded,3,Core Enchantment Zone,4,WA
4,8/21/2023,Colchuck Zone,4,4,8/20/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,OR
4,8/8/2023,Core Enchantment Zone,4,4,8/9/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,6/1/2023,Snow Zone,4,4,7/27/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
6,9/18/2023,Core Enchantment Zone,6,6,8/28/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
8,7/11/2023,Stuart  Zone,8,8,7/11/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,6/19/2023,Core Enchantment Zone,2,2,6/20/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,8/10/2023,Core Enchantment Zone,6,6,8/18/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
6,9/3/2023,Core Enchantment Zone,6,6,9/4/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
3,9/23/2023,Core Enchantment Zone,3,3,9/24/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
6,7/30/2023,Core Enchantment Zone,4,4,9/17/2023,Core Enchantment Zone,6,6,Awarded,2,Core Enchantment Zone,4,WA
8,7/1/2023,Core Enchantment Zone,8,8,7/8/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,NY
4,8/10/2023,Core Enchantment Zone,4,4,,,,,Unsuccessful,,,,WA
5,8/20/2023,Core Enchantment Zone,5,5,7/21/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,OR
3,8/3/2023,Core Enchantment Zone,3,3,9/1/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
6,8/8/2023,Colchuck Zone,6,6,6/6/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
2,8/15/2023,Core Enchantment Zone,2,2,7/11/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
2,9/2/2023,Stuart  Zone,2,2,9/16/2023,Stuart  Zone,2,2,Unsuccessful,,,,WA
6,8/2/2023,Snow Zone,6,6,8/8/2023,Stuart  Zone,6,6,Unsuccessful,,,,OR
2,10/9/2023,Core Enchantment Zone,2,2,10/16/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,BC
6,8/13/2023,Snow Zone,6,6,9/30/2023,Colchuck Zone,6,6,Unsuccessful,,,,OR
8,7/15/2023,Eightmile/Caroline Zone,8,8,8/5/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
4,7/24/2023,Colchuck Zone,4,4,9/4/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
2,9/29/2023,Core Enchantment Zone,2,2,10/6/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,OR
2,7/24/2023,Colchuck Zone,2,2,7/24/2023,Snow Zone,2,2,Awarded,2,Colchuck Zone,2,WA
4,,,,,,,,,Unsuccessful,,,,MO
4,7/16/2023,Stuart  Zone,4,4,7/16/2023,Eightmile/Caroline Zone (stock),4,4,Unsuccessful,,,,WA
6,8/2/2023,Core Enchantment Zone,6,6,6/15/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,OR
5,9/16/2023,Core Enchantment Zone,5,5,9/5/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
4,6/18/2023,Snow Zone,4,4,6/18/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
4,7/29/2023,Colchuck Zone,4,4,9/2/2023,Colchuck Zone,4,4,Unsuccessful,,,,OR
5,9/17/2023,Colchuck Zone,5,5,9/14/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
8,8/30/2023,Core Enchantment Zone,8,8,8/30/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
4,5/27/2023,Colchuck Zone,4,4,9/9/2023,Colchuck Zone,4,4,Awarded,1,Colchuck Zone,4,WA
2,8/25/2023,Snow Zone,2,2,8/25/2023,Colchuck Zone,2,2,Unsuccessful,,,,IL
4,5/30/2023,Stuart  Zone,4,4,8/15/2023,Colchuck Zone,4,4,Awarded,2,Stuart  Zone,4,WA
4,8/25/2023,Snow Zone,4,4,6/17/2023,Snow Zone,4,4,Unsuccessful,,,,WA
8,9/7/2023,Colchuck Zone,8,8,9/21/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
6,7/14/2023,Core Enchantment Zone,6,6,7/28/2023,Snow Zone,6,6,Unsuccessful,,,,WA
4,9/8/2023,Core Enchantment Zone,2,2,7/18/2023,Snow Zone,4,4,Unsuccessful,,,,WA
8,8/12/2023,Core Enchantment Zone,8,8,8/19/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
2,8/7/2023,Core Enchantment Zone,2,2,8/21/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
4,9/18/2023,Core Enchantment Zone,4,4,10/2/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,OR
3,8/1/2023,Colchuck Zone,3,3,8/1/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
6,10/29/2023,Core Enchantment Zone,6,6,10/30/2023,Core Enchantment Zone,6,6,Awarded,2,Core Enchantment Zone,6,WA
6,8/23/2023,Colchuck Zone,6,6,8/23/2023,Eightmile/Caroline Zone,6,6,Unsuccessful,,,,WA
4,8/12/2023,Core Enchantment Zone,4,4,8/16/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
3,9/13/2023,Snow Zone,3,3,9/6/2023,Snow Zone,3,3,Unsuccessful,,,,WA
6,10/6/2023,Colchuck Zone,6,6,10/8/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
6,8/17/2023,Core Enchantment Zone,6,6,8/24/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,TX
8,9/7/2023,Core Enchantment Zone,8,8,9/21/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,OR
2,9/14/2023,Snow Zone,2,2,9/28/2023,Snow Zone,2,2,Unsuccessful,,,,OR
3,8/19/2023,Colchuck Zone,3,3,8/21/2023,Eightmile/Caroline Zone,3,3,Unsuccessful,,,,WA
8,8/27/2023,Core Enchantment Zone,8,8,9/3/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,7/11/2023,Core Enchantment Zone,4,4,7/25/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
8,8/10/2023,Core Enchantment Zone,8,8,8/11/2023,Core Enchantment Zone,8,8,Awarded,1,Core Enchantment Zone,8,OR
2,10/3/2023,Core Enchantment Zone,2,2,10/6/2023,Core Enchantment Zone,2,2,Awarded,1,Core Enchantment Zone,2,WA
