Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,7/9/2020,Core Enchantment Zone,8/20/2020,Core Enchantment Zone,9/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/17/2020,Core Enchantment Zone,7/31/2020,Colchuck Zone,7/24/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,9/7/2020,Core Enchantment Zone,6/24/2020,Colchuck Zone,9/15/2020,Colchuck Zone,Awarded,2,6/24/2020,Colchuck Zone,4
Overnight Permit,8/19/2020,Core Enchantment Zone,8/18/2020,Core Enchantment Zone,8/17/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/4/2020,Stuart  Zone,8/7/2020,Stuart  Zone,8/11/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,7/23/2020,Core Enchantment Zone,7/31/2020,Colchuck Zone,8/1/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/9/2020,Core Enchantment Zone,7/9/2020,Colchuck Zone,7/9/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,6/15/2020,Colchuck Zone,7/6/2020,Core Enchantment Zone,7/13/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,6/26/2020,Snow Zone,9/25/2020,Core Enchantment Zone,10/9/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/20/2020,Colchuck Zone,7/22/2020,Colchuck Zone,7/21/2020,Colchuck Zone,Awarded,1,7/20/2020,Colchuck Zone,4
Overnight Permit,8/21/2020,Eightmile/Caroline Zone,,,,,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/3/2020,Snow Zone,7/3/2020,Colchuck Zone,7/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/4/2020,Stuart  Zone,8/7/2020,Stuart  Zone,8/11/2020,Stuart  Zone,Awarded,1,8/4/2020,Stuart  Zone,2
